0.5938,-0.0746,-1.2819,0.0541,-0.0998,8.0000,0.0998,-0.4994,-0.0076,0.3846,-5.9854,1360.0007,20.9580
0.6250,-0.0421,-1.0322,0.0201,-0.1175,7.9997,0.1140,-0.5691,-0.0102,0.4544,-7.0525,1359.9464,23.9398
0.6562,-0.0298,-0.7823,0.0056,-0.1379,7.9993,0.1307,-0.6513,-0.0138,0.5341,-8.2738,1359.8733,27.4447
0.6875,-0.0231,-0.5323,-0.0039,-0.1613,7.9987,0.1502,-0.7477,-0.0185,0.6255,-9.6758,1359.7750,31.5494
0.7188,-0.0190,-0.2824,-0.0120,-0.1882,7.9979,0.1731,-0.8604,-0.0249,0.7305,-11.2891,1359.6429,36.3432
0.7500,-0.0162,-0.0324,-0.0198,-0.2191,7.9969,0.1997,-0.9919,-0.0334,0.8514,-13.1489,1359.4653,41.9305
0.7812,-0.0144,0.2175,-0.0283,-0.2549,7.9955,0.2306,-1.1449,-0.0449,0.9908,-15.2956,1359.2267,48.4330
0.8125,-0.0136,0.4675,-0.0380,-0.2963,7.9936,0.2666,-1.3228,-0.0603,1.1518,-17.7759,1358.9062,55.9916
0.8438,-0.0143,0.7173,-0.0500,-0.3441,7.9910,0.3084,-1.5293,-0.0811,1.3377,-20.6434,1358.4755,64.7701
0.8750,-0.0180,0.9672,-0.0663,-0.3993,7.9876,0.3569,-1.7689,-0.1089,1.5524,-23.9601,1357.8970,74.9579
0.9062,-0.0310,1.2169,-0.0936,-0.4633,7.9831,0.4132,-2.0464,-0.1463,1.8005,-27.7971,1357.1200,86.7739
0.9375,-0.1205,1.4659,-0.1995,-0.5373,7.9769,0.4784,-2.3677,-0.1964,2.0871,-32.2365,1356.0765,100.4702
0.9688,-3.0321,1.4245,-3.1304,-0.6229,7.9687,0.5540,-2.7390,-0.2637,2.4178,-37.3722,1354.6756,116.3370
1.0000,-3.0872,1.1754,3.0750,-0.7219,7.9576,0.6415,-3.1678,-0.3539,2.7991,-43.3117,1352.7954,134.7062
1.0312,-3.0954,0.9263,3.0395,-0.8363,7.9428,0.7427,-3.6618,-0.4748,3.2382,-50.1776,1350.2728,155.9566
1.0625,-3.0949,0.6774,3.0072,-0.9685,7.9229,0.8596,-4.2298,-0.6367,3.7426,-58.1084,1346.8905,180.5171
1.0938,-3.0901,0.4289,2.9720,-1.1210,7.8962,0.9946,-4.8807,-0.8531,4.3204,-67.2598,1342.3586,208.8695
1.1250,-3.0816,0.1811,2.9308,-1.2967,7.8605,1.1502,-5.6237,-1.1418,4.9796,-77.8043,1336.2926,241.5481
1.1562,-3.0684,-0.0658,2.8811,-1.4988,7.8128,1.3292,-6.4670,-1.5263,5.7276,-89.9299,1328.1840,279.1358
1.1875,-3.0484,-0.3114,2.8191,-1.7306,7.7492,1.5345,-7.4169,-2.0366,6.5700,-103.8366,1317.3644,322.2516
1.2188,-3.0169,-0.5549,2.7386,-1.9955,7.6645,1.7692,-8.4757,-2.7111,7.5088,-119.7285,1302.9615,371.5284
1.2500,-2.9632,-0.7948,2.6277,-2.2967,7.5521,2.0361,-9.6388,-3.5975,8.5400,-137.8012,1283.8496,427.5722
1.2812,-2.8587,-1.0279,2.4561,-2.6370,7.4035,2.3376,-10.8906,-4.7537,9.6496,-158.2210,1258.5953,490.8980
